area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P087/N27,Jenderak,Jenderak,Mohamed Jaafar,Mohamed Bin Jaafar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jenderak,,National Front,Barisan Nasional,UMNO,,,,,,,
P087/N28,Kerdau,Kerdau,Adnan Abdul Manaf,Adnan Bin Abdul Manaf,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kerdau,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P087/N28,Kerdau,Kerdau,Aireroshairi Roslan,Aireroshairi Bin Roslan,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kerdau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P087/N28,Kerdau,Kerdau,Syed Ibrahim Syed Ahmad,Syed Ibrahim Bin Syed Ahmad,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Kerdau,,National Front,Barisan Nasional,UMNO,,,,,,,
P087/N29,Jengka,Jengka,Jalani Ludin,Jalani Bin Ludin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jengka,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P087/N29,Jengka,Jengka,Shahril Azman Abd Halim,Shahril Azman Bin Abd Halim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jengka,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P087/N29,Jengka,Jengka,Wan Salman Wan Ismail,Wan Salman Bin Wan Ismail,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jengka,,National Front,Barisan Nasional,UMNO,,,,,,,
P088/N30,Mentakab,Mentakab,Abirerah Awang Chik,Abirerah Bin Awang Chik,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Mentakab,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P088/N30,Mentakab,Mentakab,Chuah Boon Seong,Chuah Boon Seong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Mentakab,,Independent,Bebas,,,,,,,,
P088/N30,Mentakab,Mentakab,Wong Tat Chee @ Wong Tai Chee,Wong Tat Chee @ Wong Tai Chee,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Mentakab,,National Front,Barisan Nasional,MCA,,,,,,,
