area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P021/N10,Bunut Payong,Bunut Payong,Mohamed Hasnan Che Hussin,Mohamed Hasnan Bin Che Hussin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Bunut Payong,,National Front,Barisan Nasional,UMNO,,,,,,,
P021/N10,Bunut Payong,Bunut Payong,Ramli Mamat,Ramli Bin Mamat,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Bunut Payong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P021/N10,Bunut Payong,Bunut Payong,Sanusi Othman,Sanusi Bin Othman,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Bunut Payong,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P022/N11,Tendong,Tendong,Ibrahim Ali,Ibrahim Bin Ali,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tendong,,Independent,Bebas,,,,,,,,
P022/N11,Tendong,Tendong,Rozi Muhamad,Rozi Bin Muhamad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tendong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P022/N11,Tendong,Tendong,Wan Zulkhairi Wan Md Zain,Wan Zulkhairi Bin Wan Md Zain,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tendong,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P022/N11,Tendong,Tendong,Yahaya Mamat,Yahaya Bin Mamat,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tendong,,National Front,Barisan Nasional,UMNO,,,,,,,
P022/N12,Pengkalan Pasir,Pengkalan Pasir,Che Johan Che Pa,Che Johan Bin Che Pa,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Pasir,,National Front,Barisan Nasional,UMNO,,,,,,,
P022/N12,Pengkalan Pasir,Pengkalan Pasir,Hanifa Ahmad,Hanifa BIn Ahmad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Pasir,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P022/N12,Pengkalan Pasir,Pengkalan Pasir,Mohd Sharani Mohd Naim,Mohd Sharani Bin Mohd Naim,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Pasir,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P022/N12,Pengkalan Pasir,Pengkalan Pasir,Suharto Mat Nasir,Suharto Bin Mat Nasir,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Pasir,,Independent,Bebas,,,,,,,,
P022/N13,Meranti,Meranti,Ahmad Anuar Husin,Ahmad Anuar BIn Husin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Meranti,,National Front,Barisan Nasional,UMNO,,,,,,,
