area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P039/N27,Sura,Sura,Zukifli Ali,Zukifli Bin Ali,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Sura,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P039/N28,Paka,Paka,Mohd Hasbie Muda,Mohd Hasbie Bin Muda,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Paka,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P039/N28,Paka,Paka,Satiful Bahari Mamat,Satiful Bahari Bin Mamat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Paka,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P039/N28,Paka,Paka,T. Hamzah T. Draman,T. Hamzah Bin T. Draman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Paka,,National Front,Barisan Nasional,UMNO,,,,,,,
P040/N29,Kemasik,Kemasik,Rizan Ali,Rizan Bin Ali,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kemasik,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P040/N29,Kemasik,Kemasik,Rosli Othman,Rosli Bin Othman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kemasik,,National Front,Barisan Nasional,UMNO,,,,,,,
P040/N29,Kemasik,Kemasik,Saiful Azmi Suhaili,Saiful Azmi BIn Suhaili,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kemasik,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P040/N30,Kijal,Kijal,Ahmad Said,Ahmad Bin Said,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kijal,,National Front,Barisan Nasional,UMNO,,,,,,,
P040/N30,Kijal,Kijal,Hazri Jusoh,Hazri Bin Jusoh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kijal,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P040/N30,Kijal,Kijal,Wan Marzuki Wan Sembok,Wan Marzuki Bin Wan Sembok,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kijal,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P040/N31,Cukai,Cukai,Hanafiah Mat,Hanafiah Bin Mat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Cukai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P040/N31,Cukai,Cukai,Mohamed Awang Tera,Mohamed Bin Awang Tera,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Cukai,,National Front,Barisan Nasional,UMNO,,,,,,,
P040/N31,Cukai,Cukai,Wan Mohd Anies Wan Mohd Adnan,Wan Mohd Anies Bin Wan Mohd Adnan,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Cukai,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P040/N32,Air Putih,Air Putih,Ab Razak Ibrahim,Ab Razak Bin Ibrahim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Air Putih,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P040/N32,Air Putih,Air Putih,Mohd Zukri Aksah,Mohd Zukri Bin Aksah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Air Putih,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P040/N32,Air Putih,Air Putih,Wan Abdul Hakim Wan Mokhtar,Wan Abdul Hakim Bin Wan Mokhtar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Air Putih,,National Front,Barisan Nasional,UMNO,,,,,,,
